Episode,Winner,Duration,RemainingHealth
519,Player2,27382.34,40
520,Player2,27427.67,20
523,Player2,27579.35,60
525,Player2,27671.39,40
529,Player2,27794.03,40
531,Draw,60.00,100
537,Player2,28160.00,80
541,Player2,28290.17,60
543,Player2,28404.02,40
544,Player2,28414.73,40
545,Player2,28442.69,40
547,Player2,28543.67,40
548,Player2,28573.13,20
550,Player2,28634.69,60
552,Player2,60.00,40
554,Player2,28860.35,40
556,Player2,28919.69,60
560,Player2,29087.36,60
561,Player2,29143.34,40
564,Player2,29288.69,60
567,Player2,29432.03,20
568,Player2,29463.05,20
571,Player2,29524.34,40
575,Player2,29691.02,80
578,Player2,29781.83,20
580,Player1,60.00,40
582,Player2,29992.85,80
583,Player2,30006.89,60
585,Player2,30081.71,60
588,Player2,60.00,40
589,Player2,30251.69,80
590,Player2,30305.00,60
592,Draw,60.00,40
593,Player2,30446.75,40
594,Player2,30480.41,80
596,Player2,30576.02,40
598,Player2,30679.37,40
599,Player2,30720.68,20
600,Player2,30773.15,20
610,Player2,31043.45,40
611,Player2,31085.03,80
612,Player2,31101.02,40
613,Player2,31157.00,20
614,Player2,31209.02,40
616,Player1,60.00,60
617,Player2,31367.09,40
618,Player2,31416.35,40
620,Player2,31515.35,40
622,Player2,31558.01,60
623,Player2,31611.35,40
627,Player2,31782.68,40
628,Player2,31836.02,40
629,Player2,31861.34,100
630,Player2,31886.75,60
631,Player2,31900.13,60
632,Player2,31952.39,60
635,Draw,60.00,40
638,Player2,32273.45,20
640,Player2,60.00,80
642,Player2,32468.36,40
644,Player2,32551.67,100
645,Player2,32579.69,20
647,Player2,32666.36,40
648,Player2,32692.19,40
649,Player2,32716.01,40
650,Player2,32769.35,20
652,Player2,32843.00,40
653,Player2,32856.53,80
654,Player2,32888.36,20
655,Player2,32936.36,60
660,Player2,33160.34,40
664,Player2,33333.05,20
665,Player2,33366.35,60
667,Player2,33441.68,60
669,Player2,33504.71,20
670,Player2,33547.67,40
672,Player2,33633.35,80
673,Player2,33683.03,20
675,Player2,33715.01,40
677,Player2,33808.85,20
680,Player2,33961.43,40
681,Player2,33977.51,80
686,Player2,34211.69,60
687,Player2,34270.37,80
688,Player2,34293.02,20
690,Player2,34309.01,60
691,Player2,34349.03,20
693,Player2,34438.67,40
694,Player2,34454.69,60
695,Player2,34474.79,40
696,Player2,34507.01,80
699,Player2,34625.00,80
700,Player2,34649.03,80
702,Player2,34724.81,60
703,Player2,34752.02,40
704,Player2,34810.67,100
705,Player2,34821.35,100
706,Player2,34866.68,20
709,Draw,60.00,20
710,Player2,35035.01,20
711,Player2,35070.68,60
713,Player2,60.00,80
714,Player2,35191.01,100
716,Player2,35274.41,80
718,Player2,60.00,80
720,Player2,35461.34,40
724,Player2,35642.39,40
726,Player1,60.00,40
728,Player2,35773.34,20
729,Player2,35807.09,60
731,Player2,35900.75,40
732,Player2,35926.67,60
734,Player2,36001.67,20
736,Player2,36039.02,80
738,Player2,36122.00,40
739,Player2,36150.02,40
741,Player2,36212.69,40
742,Player2,36223.67,60
747,Player2,36379.01,20
748,Player2,36408.35,20
750,Player2,36459.35,20
751,Player2,36498.68,20
752,Player2,36530.72,20
754,Player2,36575.24,20
757,Player2,36707.69,60
759,Player2,36789.80,60
760,Player2,36834.20,60
762,Player2,36912.68,100
763,Player2,36926.42,80
765,Player2,36975.74,40
769,Player2,37144.04,60
770,Player2,37169.72,60
775,Draw,60.00,60
776,Player2,37403.06,60
777,Player2,37439.36,80
778,Player2,37467.80,20
782,Player2,37571.90,20
784,Player2,60.00,60
787,Player2,37773.68,40
788,Player2,37804.34,40
789,Player2,37817.69,60
790,Player2,37855.34,80
792,Player2,37909.01,20
793,Player2,37939.76,40
794,Player2,37958.36,40
797,Player2,38119.40,60
800,Player2,38190.35,20
804,Player2,38314.70,80
808,Player2,38436.35,60
809,Player2,38456.42,20
810,Player2,38485.67,20
815,Player2,38668.04,40
816,Player2,38700.74,60
818,Player2,38778.35,20
821,Draw,60.00,20
822,Player2,38955.35,60
823,Player2,38991.32,20
825,Player2,39068.72,20
828,Player2,39167.72,40
829,Player2,39205.04,40
830,Player2,39230.69,80
832,Player2,39296.69,40
839,Player2,39524.69,60
841,Player2,39611.36,20
845,Player1,60.00,60
849,Player2,39899.72,40
850,Player2,39926.42,20
851,Player2,39966.44,40
857,Player2,40177.46,20
863,Player2,40371.02,40
866,Player2,40451.69,40
868,Player2,40509.35,40
872,Player2,40651.34,20
874,Player2,40706.00,20
875,Player2,40735.34,40
877,Player2,40808.48,20
878,Player2,40850.42,80
879,Player2,40884.02,20
881,Player2,40980.35,20
882,Player2,41039.06,40
884,Draw,60.00,40
888,Player2,41262.38,60
890,Player2,41324.12,40
891,Player2,41372.48,20
893,Draw,60.00,20
894,Player2,41484.80,40
897,Player2,41618.42,40
901,Player2,41791.67,20
903,Player2,60.00,80
904,Player2,41906.78,20
907,Player2,41997.38,80
908,Player2,42019.04,60
909,Player2,42033.68,60
911,Draw,60.00,60
913,Player2,42251.84,40
915,Player2,42310.40,20
918,Player2,42392.24,60
920,Player1,60.00,40
922,Player2,42583.16,80
925,Player2,42690.35,40
926,Player2,42723.74,20
928,Player2,42821.48,20
932,Player2,42971.06,40
934,Player2,43015.46,60
935,Player2,43041.02,60
938,Player2,43142.48,20
940,Player2,43208.42,60
941,Player2,43215.02,40
942,Player2,43240.34,60
943,Player2,43261.76,80
944,Player2,43281.68,40
946,Player2,60.00,60
947,Player2,43418.06,60
950,Draw,60.00,40
954,Player2,43721.69,20
956,Player2,43776.80,40
957,Player2,43831.67,60
960,Player2,43905.02,40
962,Player2,43993.01,40
966,Player2,60.00,60
967,Player2,44187.35,40
971,Player2,44310.38,40
973,Player2,44377.22,80
975,Player2,44429.36,80
978,Player2,44531.78,20
